"The login link is invalid or has expired. Please request a new one.","The login link is invalid or has expired. Please request a new one."
"Invalid form key. Please try again.","Invalid form key. Please try again."
"An error occurred while signing you in. Please request a new login link.","An error occurred while signing you in. Please request a new login link."
"Login link feature is currently disabled.","Login link feature is currently disabled."
"Please enter a valid email address.","Please enter a valid email address."
"If an account exists for this email, a login link has been sent. Please check your inbox.","If an account exists for this email, a login link has been sent. Please check your inbox."
"This account has not been confirmed yet. Please check your email for a confirmation link.","This account has not been confirmed yet. Please check your email for a confirmation link."
"This account is temporarily locked. Please try again later.","This account is temporarily locked. Please try again later."
"Unable to send the login link. Please try again later.","Unable to send the login link. Please try again later."
"Could not save token: %1","Could not save token: %1"
"Token not found.","Token not found."
"Could not delete unused tokens: %1","Could not delete unused tokens: %1"
"Could not delete expired tokens: %1","Could not delete expired tokens: %1"
"Confirm Sign In","Confirm Sign In"
"Click the button below to complete your sign in.","Click the button below to complete your sign in."
"Sign In","Sign In"
"Request a new link","Request a new link"
"Login without password","Login without password"
"Login Without Password","Login Without Password"
"Enter your email address and we will send you a one-time login link.","Enter your email address and we will send you a one-time login link."
"Email Address","Email Address"
"Send Login Link","Send Login Link"
"Login with password instead","Login with password instead"
"Your login link for %store_name","Your login link for %store_name"
"Hi %name,","Hi %name,"
"You requested a one-time login link for %store_name. Click the button below to log in. This link will expire in %lifetime minutes and can only be used once.","You requested a one-time login link for %store_name. Click the button below to log in. This link will expire in %lifetime minutes and can only be used once."
"Log In Now","Log In Now"
"If the button above does not work, copy and paste the following URL into your browser:","If the button above does not work, copy and paste the following URL into your browser:"
"If you did not request this login link, you can safely ignore this email. Your account remains secure.","If you did not request this login link, you can safely ignore this email. Your account remains secure."
Muon,Muon
"Passwordless Login","Passwordless Login"
General,General
"Enable Passwordless Login","Enable Passwordless Login"
"Token Lifetime (minutes)","Token Lifetime (minutes)"
"How long the magic link remains valid. Default: 15 minutes.","How long the magic link remains valid. Default: 15 minutes."
"Max Requests Per Hour","Max Requests Per Hour"
"Maximum magic link requests allowed per email per hour. Default: 5.","Maximum magic link requests allowed per email per hour. Default: 5."
